,year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$,star_rating,director,cast,writer
382,2010,tt1028576,Secretariat,ok,1,Drama,PG,37388114,7.2,Randall Wallace,1.6000000000000001,1.0
383,2010,tt1261945,Sex and the city 2,ok,1,Comedy,R,101482025,4.2,Michael Patrick King,1.8,2.0
384,2010,tt0892791,Shrek Forever After,notalk,0,Animation,PG,176258254,6.4,Mike Mitchell,3.0,0
385,2010,tt1130884,Shutter Island,notalk,0,Mystery,R,85458547,8.1,Martin Scorsese,2.6000000000000001,0.5
386,2010,tt1564585,Skyline,dubious,0,Action,PG13,10682318,4.4,Colin Strause,0.0,0
387,2010,tt1421051,Somewhere,dubious,0,Comedy,R,7477623,6.4,Sofia Coppola,0.0,1.0
388,2010,tt1440292,Submarine,notalk,0,Comedy,R,2029641,7.3,Richard Ayoade,0.20000000000000001,0.0
389,2010,tt1512235,Super,notalk,0,Comedy,R,2670580,6.8,James Gunn,1.8,2.0
390,2010,tt1135084,Takers,notalk,0,Action,PG13,34183419,6.2,John Luessenhop,1.0,0.0
391,2010,tt0398286,Tangled,ok,1,Animation,PG,277740279,7.8,Nathan Greno,1.2,2.2000000000000002
392,2010,tt0429493,The A-Team,nowomen,0,Action,PG13,117505503,6.8,Joe Carnahan,2.3999999999999999,0.0
393,2010,tt1212436,The Back-up Plan,ok,1,Comedy,PG13,37388114,5.2,Alan Poul,2.0,1.0
394,2010,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,ok,1,Adventure,PG,165575935,6.4,Michael Apted,2.2000000000000002,2.0
395,2010,tt0968264,The Conspirator,dubious,0,Crime,PG13,26705796,7.0,Robert Redford,2.7999999999999998,0.0
396,2010,tt0455407,The Crazies,ok,1,Horror,R,20296405,6.6,Breck Eisner,2.2000000000000002,1.3333333333333333
397,2010,tt1226753,The Debt,ok,1,Drama,R,21364637,6.9,John Madden,2.6000000000000001,1.2
398,2010,tt1320253,The Expendables,notalk,0,Action,R,87595011,6.5,Sylvester Stallone,0.80000000000000004,0
399,2010,tt0964517,The Fighter,men,0,Biography,R,11750550,7.9,David O. Russell,2.0,0.0
400,2010,tt1139328,The Ghost Writer,men,0,Mystery,PG13,48070433,7.2,Roman Polanski,0.80000000000000004,0.0
401,2010,tt0775489,The Illusionist,nowomen,0,Animation,PG,17625825,7.5,Sylvain Chomet,0.0,0.0
402,2010,tt1155076,The Karate Kid,dubious,0,Action,PG,42729274,6.2,Harald Zwart,0.59999999999999998,1.0
403,2010,tt0842926,The Kids Are All Right,ok,1,Comedy,R,4272927,7.1,Lisa Cholodenko,3.6000000000000001,0
404,2010,tt0954947,The Killer Inside Me,notalk,0,Crime,R,13887014,6.2,Michael Winterbottom,1.0,0.0
405,2010,tt1504320,The King&#39;s Speech,ok,1,Biography,R,16023478,8.1,Tom Hooper,1.6000000000000001,1.0
406,2010,tt0938283,The Last Airbender,notalk,0,Action,PG,160234776,4.3,M. Night Shyamalan,0.0,0.0
407,2010,tt1320244,The Last Exorcism,ok,1,Drama,PG13,1922817,5.6,Daniel Stamm,1.0,1.5
408,2010,tt0480255,The Losers,notalk,0,Action,PG13,26705796,6.4,Sylvain White,1.0,0.0
409,2010,tt1458175,The Next Three Days,ok,1,Crime,PG13,32046955,7.4,Paul Haggis,2.0,0
410,2010,tt1386588,The Other Guys,nowomen,0,Action,PG13,106823184,6.6,Adam McKay,1.2,0.0
411,2010,tt1017451,The Runaways,ok,1,Biography,R,10148202,6.6,Floria Sigismondi,2.3999999999999999,1.0
412,2010,tt1285016,The Social Network,notalk,0,Biography,PG13,42729274,7.8,David Fincher,0.20000000000000001,1.5
413,2010,tt0963966,The Sorcerer&#39;s Apprentice,notalk,0,Action,PG,170917095,6.2,Jon Turteltaub,0.40000000000000002,0.66666666666666663
414,2010,tt1273678,The Spy Next Door,ok,1,Action,PG,29910492,5.4,Brian Levant,1.0,1.3999999999999999
415,2010,tt0889573,The Switch,men,0,Comedy,PG13,20296405,6.0,Josh Gordon,1.0,0.0
416,2010,tt1274300,The Tempest,ok,1,Comedy,PG13,21364637,5.4,Julie Taymor,1.2,1.5
417,2010,tt1243957,The Tourist,nowomen,0,Action,PG13,106823184,6.0,Florian Henckel von Donnersmarck,2.3999999999999999,0.25
418,2010,tt0840361,The Town,notalk,0,Crime,R,39524578,7.6,Ben Affleck,0.80000000000000004,0.25
419,2010,tt1325004,The Twilight Saga: Eclipse,ok,1,Adventure,PG13,72639765,4.9,David Slade,2.0,3.0
420,2010,tt0780653,The Wolfman,notalk,0,Drama,R,160234776,5.8,Joe Johnston,0.80000000000000004,0.0
421,2010,tt1570989,Tiny Furniture,ok,1,Comedy,NR,53412,6.3,Lena Dunham,1.0,1.0
422,2010,tt0435761,Toy Story 3,dubious,0,Animation,G,213646368,8.4,Lee Unkrich,2.0,1.25
423,2010,tt1104001,Tron Legacy,notalk,0,Action,PG,213646368,6.8,Joseph Kosinski,1.0,0.0
424,2010,tt1403865,True Grit,ok,1,Adventure,PG13,37388114,7.7,Ethan Coen,1.8,1.0
425,2010,tt1465522,Tucker and Dale vs Evil,ok,1,Comedy,R,5341159,7.6,Eli Craig,1.3999999999999999,0
426,2010,tt0477080,Unstoppable,dubious,0,Action,PG13,101482025,6.8,Tony Scott,0.59999999999999998,1.0
